"name","website url","email"
"DungeonMaker","https://play.google.com/store/apps/details?id=com.GameCoaster.DungeonMaker","support@gamecoaster.com"
"基地防禦戰","https://play.google.com/store/apps/details?id=com.GameCoaster.ProtectDungeon","support@gamecoaster.com"
"無限地牢 VIP","https://play.google.com/store/apps/details?id=com.sosc.firstfantasy1super","zacra@naver.com"
"Dungeon Cards","https://play.google.com/store/apps/details?id=com.The717pixels.DungeonCards","717pixels@gmail.com"
"Dungeon Chronicle","https://play.google.com/store/apps/details?id=com.BUNKERim.DC","anaec3438@gmail.com"
"地下城之王 Lord of Dungeons","https://play.google.com/store/apps/details?id=com.twohands.lod","support_lod@twohandsgames.com"
"元氣騎士","https://play.google.com/store/apps/details?id=com.ChillyRoom.DungeonShooter","info@chillyroom.com"
"Dungeon Quest","https://play.google.com/store/apps/details?id=com.shinybox.smash","shinyboxllc@gmail.com"
"冒險村物語","https://play.google.com/store/apps/details?id=net.kairosoft.android.bouken_en","support_en@kairopark.jp"
"Dungeon Legends - RPG MMO Game","https://play.google.com/store/apps/details?id=com.codigames.dungeon","support+dungeon@codigames.com"
"地下城堡2：暗潮","https://play.google.com/store/apps/details?id=com.LTGames.DungeonSurvivor2","ds2@leiting.com"
"Pixel Dungeon","https://play.google.com/store/apps/details?id=com.watabou.pixeldungeon","pixeldungeon@watabou.ru"
"Dungeon X Dungeon","https://play.google.com/store/apps/details?id=com.playone.dunxdun","help.playone@gmail.com"
"Dungeon Boss – Strategy RPG","https://play.google.com/store/apps/details?id=com.bigfishgames.dungeonbossf2pgoogle","android.email@bigfishgames.com"
"地城守護者","https://play.google.com/store/apps/details?id=com.ea.game.dungeonkeeper_row","help@eamobile.com"
"bit Dungeon II","https://play.google.com/store/apps/details?id=air.com.kintogames.bitDungeonIII","kintogames@gmail.com"
"地牢求生 - 無盡的迷宮","https://play.google.com/store/apps/details?id=com.frozenfrog.DungeonSurvival.gp","54276264@qq.com"
"Dungeon Madness","https://play.google.com/store/apps/details?id=com.pancik.android.dungeonmadness","support@dungeonmadness.com"
"卡通副本 VIP","https://play.google.com/store/apps/details?id=com.daerisoft.cartoon.plus","elitede3626@gmail.com"
"歡迎來到地下城","https://play.google.com/store/apps/details?id=com.orca.dungeonm","support@playorca.com"
"地城獵手5 - 動作RPG遊戲","https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.Gloft5DHM","android.support@gameloft.com"
"地牢企業","https://play.google.com/store/apps/details?id=com.pikpok.dkc.play","support@pikpok.com"
"bit Dungeon","https://play.google.com/store/apps/details?id=air.bitDungeon","kintogames@gmail.com"
"Dungeon Knights","https://play.google.com/store/apps/details?id=com.Vindiez.LootQuestDungeon","vindiez.games@gmail.com"
"地下城与像素英雄(Dungeon n Pixel Hero)","https://play.google.com/store/apps/details?id=com.pixelstar.DNPH","x9cnnon@gmail.com"
"Hell, The Dungeon Again!","https://play.google.com/store/apps/details?id=air.air.HellTheDungeon","antonskv@gmail.com"
"Dungeon Loot - dungeon crawler","https://play.google.com/store/apps/details?id=com.runningpillow.dl","info.runningpillow@gmail.com"
"地下城連萌","https://play.google.com/store/apps/details?id=com.gamevilusa.dungeonlink.android.google.global.normal","contact@gamevilusa.com"
"地下城噩梦 Dungeon Nightmares","https://play.google.com/store/apps/details?id=com.joesdomain.dungeonnightmares","contact@kmonkeygames.com"
"龍之紀元","https://play.google.com/store/apps/details?id=com.droidhen.dungeon","dungeon_support@droidhen.com"
"無限地牢","https://play.google.com/store/apps/details?id=com.sosc.firstfantasy1","zacra@naver.com"
"Deadly Dungeons","https://play.google.com/store/apps/details?id=DeadlyDungeons.App","contact@deadlydungeons.com"
"無限地牢2 VIP - 召喚女孩和殭屍","https://play.google.com/store/apps/details?id=com.zabob.infinitydungeon2vip","zacra@naver.com"
"Soda Dungeon","https://play.google.com/store/apps/details?id=com.armorgames.sodadungeon","shawn@afro-ninja.com"
"地牢战争","https://play.google.com/store/apps/details?id=valsar.dungeonwarfare","valsargames@gmail.com"
"迷妳地下城傳奇","https://play.google.com/store/apps/details?id=air.net.maidrom.pdlegends","hurosofusky@gmail.com"
"Dungeon Explorer II","https://play.google.com/store/apps/details?id=net.solargames.dungeonexplorer2","support@solar-games.net"
"DANDY DUNGEON","https://play.google.com/store/apps/details?id=com.dmm.games.yamada","support@yamadakun.jp"
"地城獵手外傳：勇士戰隊 - 史詩級線上動作RPG","https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftD6HM","android.support@gameloft.com"
"突破迷宮 英雄","https://play.google.com/store/apps/details?id=com.linktown.dungeonbreakers","linktown.co@gmail.com"
"Remixed Dungeon","https://play.google.com/store/apps/details?id=com.nyrds.pixeldungeon.ml","nyrdsofficial@gmail.com"
"Pixel Dungeon ML","https://play.google.com/store/apps/details?id=br.com.rodriformiga.pixeldungeon","rodriformiga@gmail.com"
"放置地下城 (Unreleased)","https://play.google.com/store/apps/details?id=com.droidhang.dr2.gp","dungeonrush.feedback@gmail.com"
"地下城RPG传奇","https://play.google.com/store/apps/details?id=com.dungeonlegends","games4adventures@gmail.com"
"Devious Dungeon","https://play.google.com/store/apps/details?id=com.noodlecake.deviousdungeon","support+android@noodlecake.com"
